customer_id,name,email,city,signup_channel,signup_date,age,gender,recency,frequency,monetary,RFM_score,rfm_segment,cluster,segment_label
1001,customer_0,customer0.gmail.com,Delhi,Organic,2023-05-07,52,M,,,,,,,No Purchase
1002,customer_1,customer1.gmail.com,Delhi,SMS,2024-06-03,36,F,757.0,2.0,614.95,6.0,Hibernating,2.0,Lost
1003,customer_2,customer2.gmail.com,Bengaluru,SMS,2022-02-25,48,M,860.0,1.0,475.38,4.0,Lost,2.0,Lost
1004,customer_3,customer3.gmail.com,Chennai,SMS,2023-05-31,37,F,179.0,2.0,1067.46,10.0,New Customers,1.0,At-Risk
1005,customer_4,customer4.gmail.com,Mumbai,Google Search,2022-01-05,38,M,217.0,3.0,962.47,10.0,Loyal Customers,3.0,Loyal
1006,customer_5,customer5.gmail.com,Bengaluru,Organic,2022-07-17,42,F,,,,,,,No Purchase
1007,customer_6,customer6.gmail.com,Hyderabad,Organic,2023-04-09,29,F,306.0,2.0,771.54,8.0,Potential Loyalists,1.0,At-Risk
1008,customer_7,customer7.gmail.com,Bengaluru,Email,2022-07-02,51,F,299.0,3.0,2258.56,11.0,Loyal Customers,0.0,High Value
1009,customer_8,customer8.gmail.com,Pune,Organic,2022-05-21,34,M,686.0,2.0,419.59,5.0,Hibernating,2.0,Lost
1010,customer_9,customer9.gmail.com,Chennai,Email,2024-11-20,60,F,322.0,3.0,1255.35,10.0,Loyal Customers,4.0,Potential
1011,customer_10,customer10.gmail.com,Delhi,SMS,2023-08-11,49,M,90.0,2.0,1013.26,11.0,New Customers,1.0,At-Risk
1012,customer_11,customer11.gmail.com,Delhi,Paid Social,2023-02-11,18,Others,290.0,1.0,242.61,5.0,Hibernating,1.0,At-Risk
1013,customer_12,customer12.gmail.com,Delhi,SMS,2024-01-23,32,M,62.0,2.0,422.01,9.0,New Customers,1.0,At-Risk
1014,customer_13,customer13.gmail.com,Mumbai,Organic,2022-09-21,18,M,167.0,3.0,1665.65,12.0,Loyal Customers,3.0,Loyal
1015,customer_14,customer14.gmail.com,Pune,Email,2024-12-25,42,F,242.0,2.0,542.5799999999999,7.0,Hibernating,1.0,At-Risk
